Tag,Location,Item,Category,Count 1,Count 2,Lab Testing,Current,Difference,Packaged Date
1A401030000AC48000021464,Lab Area,"RXO, White Cookies & Cream, FSCO",Concentrate,504.2,,TestPassed,,-504.2,10/25/2021
1A401030000AC48000021465,Lab Area,"RXO, White Cookies & Cream, FSCO",Concentrate,510.8,,TestPassed,,-510.8,10/25/2021
1A401030000AC48000021466,Lab Area,"RXO, Lemon Lime Sundae, FSCO",Concentrate,483.7,,TestPassed,,-483.7,10/25/2021
1A401030000AC48000021467,Lab Area,"RXO, Lemon Lime Sundae, FSCO",Concentrate,494.1,,TestPassed,,-494.1,10/25/2021
1A401030000AC48000021468,Lab Area,"RXO, Lemon Lime Sundae, FSCO",Concentrate,460.6,,TestPassed,,-460.6,10/25/2021
1A401030000AC48000021810,Lab Area,VTA - 166 - Main,Concentrate,302,,NotSubmitted,,-302,10/29/2021
1A401030000AC48000021825,Lab Area,"Private Stash, Green Apple, 1:1 Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),45,,TestPassed,,-45,10/29/2021
1A401030000AC48000021834,Lab Area,"Tozmoz, Mob Boss, Cannabis Derived Terpenes",Concentrate,66.8,,NotSubmitted,,-66.8,10/30/2021
1A401030000AC48000021837,Lab Area,"Tozmoz, Blue Magoo, Cannabis-Derived Terpenes",Concentrate,130.6,,NotSubmitted,,-130.6,10/31/2021
1A401030000AC48000021838,Lab Area,"Tozmoz, Blueberry Muffin, Cannabis-Derived Terpenes",Concentrate,85.6,,NotSubmitted,,-85.6,10/31/2021
1A401030000AC48000021839,Lab Area,"Tozmoz, Jack The Ripper, Cannabis Derived Terpenes",Concentrate,54.5,,NotSubmitted,,-54.5,10/31/2021
1A401030000AC48000021964,Safe/Connex,"Tozmoz, Sunset Sherbert, Live Resin",Extracts,321.4,,NotSubmitted,,-321.4,11/3/2021
1A401030000AC48000021975,Safe/Connex,"Tozmoz, Lemon Sour Diesel, Live Resin",Extracts,180.8,,NotSubmitted,,-180.8,11/3/2021
1A401030000AC48000022108,Packaging Area,"Private Stash, Watermelon, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),18,,TestPassed,,-18,11/9/2021
